Date,Volume,Adj Close
"Sep 13, 2017",706925,49.3
"Sep 12, 2017",676040,48.23
"Sep 11, 2017",774468,48.07
"Sep 8, 2017",843760,47.48
"Sep 7, 2017",702514,49.09
"Sep 6, 2017",788963,49.16
"Sep 5, 2017",742808,48.66
"Sep 1, 2017",915708,47.29
"Aug 31, 2017",882983,47.23
"Aug 30, 2017",895643,45.96
"Aug 29, 2017",895643,46.44
"Aug 28, 2017",921285,46.57
"Aug 25, 2017",646518,47.87
"Aug 24, 2017",831358,47.43
"Aug 23, 2017",701693,48.41
"Aug 22, 2017",864387,47.64
"Aug 21, 2017",129192,47.37
"Aug 18, 2017",253069,48.51
"Aug 17, 2017",608314,47.09
"Aug 16, 2017",815544,46.78
"Aug 15, 2017",770358,47.55
"Aug 14, 2017",763241,47.59
"Aug 11, 2017",804237,48.82
"Aug 10, 2017",1135440,48.59
"Aug 9, 2017",858250,49.56
"Aug 8, 2017",924240,49.17
"Aug 7, 2017",831374,49.39
"Aug 4, 2017",745664,49.58
"Aug 3, 2017",837763,49.03
"Aug 2, 2017",847722,49.59
"Aug 1, 2017",1008583,49.16
"Jul 31, 2017",781539,50.17
"Jul 28, 2017",771225,49.71
"Jul 27, 2017",880757,49.04
"Jul 26, 2017",887864,48.75
"Jul 25, 2017",885700,47.89
"Jul 24, 2017",707910,46.34
"Jul 21, 2017",769438,45.77
"Jul 20, 2017",720621,46.79
"Jul 19, 2017",140677,47.12
"Jul 18, 2017",208420,46.4
"Jul 17, 2017",560633,46.02
"Jul 14, 2017",742895,46.54
"Jul 13, 2017",748971,46.08
"Jul 12, 2017",963505,45.49
"Jul 11, 2017",1010691,45.04
"Jul 10, 2017",848570,44.4
"Jul 7, 2017",975914,44.23
"Jul 6, 2017",969676,45.52
"Jul 5, 2017",1173581,45.13
"Jul 3, 2017",517621,47.07
"Jun 30, 2017",677408,46.04
"Jun 29, 2017",768946,44.93
"Jun 28, 2017",753375,44.74
"Jun 27, 2017",759115,44.24
"Jun 26, 2017",661354,43.38
"Jun 23, 2017",690906,43.01
"Jun 22, 2017",668830,42.74
"Jun 21, 2017",1071747,42.53
"Jun 20, 2017",894104,43.23
"Jun 19, 2017",123943,44.2
"Jun 16, 2017",191824,44.74
"Jun 15, 2017",500938,44.46
"Jun 14, 2017",924408,44.73
"Jun 13, 2017",783320,46.46
"Jun 12, 2017",666765,46.08
"Jun 9, 2017",735933,45.83
"Jun 8, 2017",927695,45.64
"Jun 7, 2017",1182327,45.72
"Jun 6, 2017",825056,48.19
"Jun 5, 2017",710199,47.4
"Jun 2, 2017",802662,47.66
"Jun 1, 2017",774478,48.36
"May 31, 2017",779144,48.32
"May 30, 2017",663486,49.66
"May 26, 2017",763920,49.8
"May 25, 2017",1147389,48.9
"May 24, 2017",736341,51.36
"May 23, 2017",584139,51.47
"May 22, 2017",564310,50.73
"May 19, 2017",146452,50.33
"May 18, 2017",242754,49.35
"May 17, 2017",650107,49.07
"May 16, 2017",589212,48.66
"May 15, 2017",687153,48.85
"May 12, 2017",537490,47.84
"May 11, 2017",661783,47.83
"May 10, 2017",819796,47.33
"May 9, 2017",701944,45.88
"May 8, 2017",785055,46.43
"May 5, 2017",1021610,46.22
"May 4, 2017",943959,45.52
"May 3, 2017",691319,47.82
"May 2, 2017",702375,47.66
"May 1, 2017",364386,48.84
"Apr 28, 2017",633992,49.33
"Apr 27, 2017",771189,48.97
"Apr 26, 2017",655717,49.62
"Apr 25, 2017",587240,49.56
"Apr 24, 2017",517897,49.23
"Apr 21, 2017",687474,49.62
"Apr 20, 2017",606263,50.27
"Apr 19, 2017",133173,50.44
"Apr 18, 2017",202043,52.41
"Apr 17, 2017",326340,52.65
"Apr 13, 2017",480835,53.18
"Apr 12, 2017",629805,53.11
"Apr 11, 2017",598003,53.4
"Apr 10, 2017",565439,53.08
"Apr 7, 2017",796437,52.24
"Apr 6, 2017",473019,51.7
"Apr 5, 2017",651398,51.15
"Apr 4, 2017",532054,51.03
"Apr 3, 2017",440724,50.24
"Mar 31, 2017",527607,50.6
"Mar 30, 2017",580668,50.35
"Mar 29, 2017",548615,49.51
"Mar 28, 2017",502377,48.37
"Mar 27, 2017",466176,47.73
"Mar 24, 2017",421027,47.97
"Mar 23, 2017",499878,47.7
"Mar 22, 2017",680849,48.04
"Mar 21, 2017",628119,47.34
"Mar 20, 2017",142258,48.22
"Mar 17, 2017",172340,48.78
"Mar 16, 2017",516853,48.75
"Mar 15, 2017",655788,48.86
"Mar 14, 2017",857711,47.72
"Mar 13, 2017",601362,48.4
"Mar 10, 2017",796960,48.49
"Mar 9, 2017",1073506,49.28
"Mar 8, 2017",963392,50.28
"Mar 7, 2017",494677,53.14
"Mar 6, 2017",503692,53.2
"Mar 3, 2017",436360,53.33
"Mar 2, 2017",638390,52.61
"Mar 1, 2017",491289,53.83
"Feb 28, 2017",593909,54.01
"Feb 27, 2017",394380,54.05
"Feb 24, 2017",395258,53.99
"Feb 23, 2017",529880,54.45
"Feb 22, 2017",499480,53.59
"Feb 21, 2017",665310,54.06
"Feb 17, 2017",195352,53.4
"Feb 16, 2017",343363,53.36
"Feb 15, 2017",463638,53.11
"Feb 14, 2017",493022,53.2
"Feb 13, 2017",586034,52.93
"Feb 10, 2017",596449,53.86
"Feb 9, 2017",610196,53.0
"Feb 8, 2017",767379,52.34
"Feb 7, 2017",624057,52.17
"Feb 6, 2017",425085,53.01
"Feb 3, 2017",462616,53.83
"Feb 2, 2017",492553,53.54
"Feb 1, 2017",577243,53.88
"Jan 31, 2017",586676,52.81
"Jan 30, 2017",486309,52.63
"Jan 27, 2017",495556,53.17
"Jan 26, 2017",578065,53.78
"Jan 25, 2017",589709,52.75
"Jan 24, 2017",520285,53.18
"Jan 23, 2017",455333,52.75
"Jan 20, 2017",567231,52.42
"Jan 19, 2017",122593,51.37
"Jan 18, 2017",236238,51.08
"Jan 17, 2017",606023,52.48
"Jan 13, 2017",477986,52.37
"Jan 12, 2017",660703,53.01
"Jan 11, 2017",815846,52.25
"Jan 10, 2017",632573,50.82
"Jan 9, 2017",564893,51.96
"Jan 6, 2017",528333,53.99
"Jan 5, 2017",517362,53.76
"Jan 4, 2017",512641,53.26
"Jan 3, 2017",727793,52.33
"Dec 30, 2016",271094,53.72
"Dec 29, 2016",360194,53.77
"Dec 28, 2016",322535,54.06
"Dec 27, 2016",277306,53.9
"Dec 23, 2016",285166,53.02
"Dec 22, 2016",393487,52.95
"Dec 21, 2016",471993,52.49
"Dec 20, 2016",416592,52.23
"Dec 19, 2016",129990,52.12
"Dec 16, 2016",252567,51.9
"Dec 15, 2016",551759,50.9
"Dec 14, 2016",677957,51.04
"Dec 13, 2016",638396,52.98
"Dec 12, 2016",847025,52.83
"Dec 9, 2016",652040,51.5
"Dec 8, 2016",780062,50.84
"Dec 7, 2016",816879,49.77
"Dec 6, 2016",642746,50.93
"Dec 5, 2016",600782,51.79
"Dec 2, 2016",667099,51.68
"Dec 1, 2016",974805,51.06
"Nov 30, 2016",1311000,49.44
"Nov 29, 2016",732818,45.23
"Nov 28, 2016",734381,47.08
"Nov 25, 2016",465977,46.06
"Nov 23, 2016",556861,47.96
"Nov 22, 2016",826208,48.03
"Nov 21, 2016",665326,47.49
"Nov 18, 2016",155651,45.69
